[run number],initial-people,environment,healthy-treatment-chance,dep-treatment-chance,[step],"count turtles with [ severity = ""No Depression"" ]","count turtles with [ severity = ""Mild Depression"" ]","count turtles with [ severity = ""Moderate Depression"" ]","count turtles with [ severity = ""Severe Depression"" ]","count turtles with [ severity != ""No Depression"" ]",mean [ dep-score ] of turtles,count turtles with [ treatment? ],count turtles with [ talks? ],mean [ prob-of-talking ] of turtles,mean [ prob-of-treatment ] of turtles,"mean [ dep-score ] of turtles with [ gender? = ""male"" ]","mean [ dep-score ] of turtles with [ gender? = ""female"" ]","count turtles with [ severity = ""No Depression"" and gender? = ""male"" ]","count turtles with [ severity != ""No Depression"" and gender? = ""male"" ]","count turtles with [ severity = ""No Depression"" and gender? = ""female"" ]","count turtles with [ severity != ""No Depression"" and gender? = ""female"" ]","count turtles with [ gender? = ""male"" ]","count turtles with [ gender? = ""female"" ]"
8,1000,40,7.7,28,15,943,25,21,11,57,7.599715465,104,415,40.62988087,9.127823276,6.835828223,8.447404683,507,19,436,38,526,474
4,1000,40,7.7,28,16,952,24,12,12,48,7.308655458,111,375,40.55538804,9.071670831,6.430762329,8.15889841,478,14,474,34,492,508
7,1000,40,7.7,28,15,943,29,17,11,57,7.666432697,102,391,40.43878432,9.466252045,7.272535332,8.050988623,474,20,469,37,494,506
3,1000,40,7.7,28,15,940,33,10,17,60,7.699660158,96,408,40.36970716,9.325440975,6.697655875,8.685759611,475,21,465,39,496,504
5,1000,40,7.7,28,16,969,15,7,9,31,7.025110876,103,407,40.31266631,8.807893599,6.464192021,7.618346043,501,13,468,18,514,486
6,1000,40,7.7,28,16,952,25,14,9,48,7.197586296,100,400,40.19088898,9.294336079,6.297300594,8.116059587,487,18,465,30,505,495
2,1000,40,7.7,28,15,943,25,13,19,57,7.922399279,106,403,40.28400736,9.576346287,7.025731453,8.777035801,469,19,474,38,488,512
8,1000,40,7.7,28,16,943,25,21,11,57,7.602457615,92,398,40.68107115,9.130788511,6.865126415,8.42067747,507,19,436,38,526,474
4,1000,40,7.7,28,17,952,24,11,13,48,7.337664027,93,410,40.57689509,9.101913854,6.466632549,8.181261442,478,14,474,34,492,508
1,1000,40,7.7,28,14,952,27,10,11,48,7.318306106,107,429,40.18104877,9.048289689,6.74184202,7.844067807,461,16,491,32,477,523
3,1000,40,7.7,28,16,941,32,10,17,59,7.699204154,97,415,40.40911276,9.341910924,6.715548124,8.667246596,475,21,466,38,496,504
7,1000,40,7.7,28,16,942,30,17,11,58,7.682555999,98,403,40.45906984,9.467338813,7.287817994,8.067932629,473,21,469,37,494,506
5,1000,40,7.7,28,17,970,14,7,9,30,7.034527668,70,427,40.34741024,8.805284137,6.470959543,7.630564739,501,13,469,17,514,486
6,1000,40,7.7,28,17,953,24,14,9,47,7.229758152,103,375,40.21377368,9.309937032,6.39247135,8.083959839,487,18,466,29,505,495
2,1000,40,7.7,28,16,942,25,14,19,58,7.960823924,98,416,40.30874527,9.593063317,7.059682311,8.819724524,469,19,473,39,488,512
4,1000,40,7.7,28,18,953,23,11,13,47,7.360704888,100,398,40.57566941,9.099965471,6.448350695,8.244323516,480,12,473,35,492,508
8,1000,40,7.7,28,17,942,25,22,11,58,7.640098297,103,398,40.72464804,9.160528814,6.925085769,8.433551018,506,20,436,38,526,474
3,1000,40,7.7,28,17,941,32,10,17,59,7.719472775,104,466,40.4166898,9.371547887,6.724811839,8.698345442,476,20,465,39,496,504
7,1000,40,7.7,28,17,941,31,17,11,59,7.713289511,97,434,40.47428089,9.486764563,7.34832695,8.069596832,473,21,468,38,494,506
1,1000,40,7.7,28,15,951,29,9,11,49,7.361161768,94,386,40.18788106,9.081438561,6.814972445,7.859311495,459,18,492,31,477,523
5,1000,40,7.7,28,18,971,14,6,9,29,7.059207274,72,394,40.35876593,8.827432594,6.498319278,7.652409806,502,12,469,17,514,486
6,1000,40,7.7,28,18,953,25,14,8,47,7.216249078,115,424,40.22883718,9.333015121,6.35871607,8.091105984,487,18,466,29,505,495
2,1000,40,7.7,28,17,940,26,15,19,60,7.988369385,85,428,40.31872316,9.614702721,7.079534023,8.854603091,468,20,472,40,488,512
4,1000,40,7.7,28,19,954,22,12,12,46,7.394632177,90,421,40.60593454,9.119202282,6.507387539,8.253932102,479,13,475,33,492,508
8,1000,40,7.7,28,18,943,24,20,13,57,7.674697946,111,404,40.73362929,9.17330794,6.936152305,8.494265471,507,19,436,38,526,474
3,1000,40,7.7,28,18,939,33,11,17,61,7.778621165,82,413,40.41784631,9.383869562,6.783526263,8.757920911,475,21,464,40,496,504
7,1000,40,7.7,28,18,938,34,17,11,62,7.755939575,96,396,40.49244467,9.522129783,7.406776701,8.096821907,470,24,468,38,494,506
5,1000,40,7.7,28,19,971,14,6,9,29,7.09114593,98,386,40.39195307,8.838517182,6.497639453,7.718846195,502,12,469,17,514,486
1,1000,40,7.7,28,16,951,29,9,11,49,7.41633797,98,399,40.20015376,9.097667639,6.88055539,7.904996269,459,18,492,31,477,523
6,1000,40,7.7,28,19,951,27,14,8,49,7.239683358,107,439,40.24707645,9.343070777,6.379368409,8.117378407,487,18,464,31,505,495
2,1000,40,7.7,28,18,940,26,15,19,60,8.013225461,100,410,40.31714346,9.621078843,7.100393394,8.883268526,468,20,472,40,488,512
4,1000,40,7.7,28,20,954,22,12,12,46,7.416163186,101,386,40.63775076,9.130498968,6.552412371,8.25270925,479,13,475,33,492,508
8,1000,40,7.7,28,19,944,24,20,12,56,7.723527988,90,403,40.73773398,9.190339968,7.019561182,8.504723221,507,19,437,37,526,474
3,1000,40,7.7,28,19,939,33,11,17,61,7.768043696,112,383,40.44773343,9.404726149,6.801164782,8.719575325,475,21,464,40,496,504
7,1000,40,7.7,28,19,940,32,17,11,60,7.753560721,118,388,40.5036257,9.526463212,7.388546292,8.109918681,471,23,469,37,494,506
